time,pm25,dp,haps,nox,press,rh,temp,wd,wp
2023-01-01 06:00:00,26.1,45.0,0.1,14.1,996.0,57.0,61.0,155.7,3.5
2023-01-01 07:00:00,19.1,45.0,0.1,16.2,996.0,58.0,61.0,152.2,4.5
2023-01-01 08:00:00,15.1,45.0,1.5,14.7,996.0,62.0,59.0,148.3,3.3
2023-01-01 09:00:00,12.1,45.0,1.5,17.1,996.0,66.0,57.0,152.9,1.8
2023-01-01 10:00:00,9.1,45.0,1.5,14.8,996.0,68.0,56.0,142.5,2.3
2023-01-01 11:00:00,7.1,45.0,0.1,12.5,997.0,68.0,56.0,155.8,3.5
2023-01-01 12:00:00,15.1,45.0,0.1,10.3,997.0,69.0,56.0,151.2,3.7
2023-01-01 13:00:00,11.1,46.0,0.1,9.8,997.0,71.0,56.0,152.3,3.7
2023-01-01 14:00:00,10.1,47.0,0.1,8.4,997.0,68.0,58.0,158.4,4.6
2023-01-01 15:00:00,11.1,47.0,0.1,7.4,999.0,59.0,62.0,163.4,4.7
2023-01-01 16:00:00,10.1,47.0,0.1,7.7,999.0,47.0,68.0,187.9,3.9
2023-01-01 17:00:00,7.1,47.0,0.0,5.6,998.0,42.0,72.0,242.7,6.5
2023-01-01 18:00:00,4.1,48.0,0.1,6.5,997.0,40.0,74.0,178.0,3.8
2023-01-01 19:00:00,2.1,46.0,0.0,5.2,996.0,34.0,77.0,194.1,6.9
2023-01-01 20:00:00,4.1,48.0,0.1,4.4,995.0,36.0,77.0,182.5,6.0
2023-01-01 21:00:00,5.1,51.0,0.0,4.6,996.0,39.0,78.0,164.3,5.7
2023-01-01 22:00:00,5.1,52.0,0.1,3.9,996.0,43.0,77.0,174.6,6.0
2023-01-01 23:00:00,6.1,55.0,0.0,6.3,996.0,54.0,73.0,156.3,4.5
2023-01-02 00:00:00,6.1,56.0,0.1,10.7,996.0,62.0,70.0,149.7,3.9
2023-01-02 01:00:00,8.1,57.0,0.1,11.3,996.0,67.0,68.0,152.1,3.5
2023-01-02 02:00:00,12.1,58.0,0.1,12.2,996.0,75.0,66.0,141.9,3.0
2023-01-02 03:00:00,13.1,60.0,0.1,8.9,996.0,80.0,66.0,151.6,5.5
2023-01-02 04:00:00,10.1,61.0,0.1,7.4,997.0,84.0,66.0,161.3,4.3
2023-01-02 05:00:00,9.1,61.0,0.1,8.8,997.0,89.0,64.0,158.1,4.1
2023-01-02 06:00:00,10.1,61.0,0.71,7.5,997.0,90.0,64.0,150.7,4.5
2023-01-02 07:00:00,10.1,61.0,0.71,7.5,997.0,92.0,64.0,148.7,3.7
2023-01-02 08:00:00,11.1,62.0,0.0,7.5,996.0,93.0,63.0,146.4,3.5
2023-01-02 09:00:00,11.1,62.0,0.1,6.0,997.0,93.0,64.0,136.5,3.8
2023-01-02 10:00:00,10.1,63.0,0.0,6.1,996.0,93.0,65.0,131.8,4.1
2023-01-02 11:00:00,12.1,63.0,0.1,9.1,996.0,93.0,65.0,129.9,3.9
2023-01-02 12:00:00,12.1,64.0,0.0,10.5,996.0,93.0,66.0,129.5,3.6
2023-01-02 13:00:00,15.1,64.0,0.0,12.0,995.0,92.0,66.0,129.8,3.8
2023-01-02 14:00:00,15.1,65.0,0.0,9.3,995.0,92.0,67.0,138.0,4.3
2023-01-02 15:00:00,14.1,65.0,0.0,9.7,996.0,90.0,69.0,166.4,3.5
2023-01-02 16:00:00,14.1,66.0,0.0,4.9,996.0,85.0,71.0,166.2,6.3
2023-01-02 17:00:00,11.1,66.0,0.1,6.7,994.0,81.0,73.0,149.9,5.7
